year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2023,2023-11-16,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,26,59,1
2023,2023-07-03,Jewish,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Manhattan,34,55,1
2023,2023-01-04,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Bronx,41,49,1
2023,2023-04-26,Jewish,Misdemeanor,Other,"Larceny,Petit From Open Areas,",Bronx,44,52,1
2023,2023-10-26,Jewish,Felony,Grand Larceny,"Larceny,Grand From Residence, Unattended",Bronx,49,58,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Bronx,50,60,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Bronx,50,60,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Bronx,50,60,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,61,60,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,66,60,1
2023,2023-10-08,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,70,58,1
2023,2023-07-13,Jewish,Misdemeanor,Assault,Assault 3,Brooklyn,71,55,1
2023,2023-08-09,Jewish,Misdemeanor,Assault,"Menacing,Unclassified",Brooklyn,71,56,1
2023,2023-12-07,Jewish,Felony,Robbery,"Robbery,Personal Electronic Device",Brooklyn,71,60,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,76,60,1
2023,2023-12-24,Jewish,Misdemeanor,Assault,Assault 3,Brooklyn,77,60,1
2023,2023-09-16,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,78,57,1
2023,2023-09-10,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,81,57,1
2023,2023-11-20,Jewish,Felony,Misc. Penal Law,Supp. Act Terr 2Nd,Brooklyn,84,59,1
2023,2023-03-29,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,90,51,1
2023,2023-07-18,Jewish,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Brooklyn,90,55,1
2023,2023-08-18,Jewish,Misdemeanor,Assault,Assault 3,Brooklyn,90,56,1
2023,2023-09-19,Jewish,Misdemeanor,Assault,"Menacing,Unclassified",Brooklyn,90,57,1
2023,2023-11-18,Jewish,Felony,Other,"Arson 2,3,4",Brooklyn,90,59,1
2023,2023-07-05,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Queens,100,55,1
2023,2023-07-10,Jewish,Misdemeanor,Assault,Assault 3,Queens,100,55,1
2023,2023-04-07,Jewish,Felony,Misc. Penal Law,Menacing 1St Degree (Vict Peac,Queens,101,52,1
2023,2023-10-10,Jewish,Misdemeanor,Other,"Larceny,Petit From Building,Un",Queens,104,58,1
2023,2023-12-12,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Queens,107,60,1
2023,2023-09-17,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Queens,109,57,1
2023,2023-12-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Queens,112,60,1
2023,2023-09-18,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Queens,115,57,1
2024,2024-06-19,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,1,66,1
2024,2024-05-07,Jewish,Misdemeanor,Assault,Assault 3,Manhattan,5,65,1
2024,2024-04-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,6,64,1
2024,2024-04-26,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,6,64,1
2024,2024-04-12,Jewish,Felony,Robbery,"Robbery,Clothing",Manhattan,14,64,1
2024,2024-05-04,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,14,65,1
2024,2024-05-04,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,17,65,1
2024,2024-03-05,Jewish,Misdemeanor,Other,"Larceny,Petit From Store-Shopl",Manhattan,19,63,1
2024,2024-03-24,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,19,63,1
2024,2024-05-04,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Manhattan,20,65,1
2024,2024-06-18,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Manhattan,20,66,1
2024,2024-06-24,Jewish,Felony,Misc. Penal Law,Supp. Act Terr 2Nd,Manhattan,34,66,1
2024,2024-06-13,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,61,66,1
2024,2024-06-17,Jewish,Misdemeanor,Assault,Assault 3,Brooklyn,62,66,1
2024,2024-06-17,Jewish,Misdemeanor,Assault,Assault 3,Brooklyn,62,66,1
2024,2024-01-08,Jewish,Felony,Other,"Burglary,Unclassified,Night",Brooklyn,66,61,1
2024,2024-06-21,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,76,66,1
2024,2024-05-04,Jewish,Felony,Misc. Penal Law,Making Terroristic Threat,Brooklyn,84,65,1
2024,2024-06-07,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,90,66,1
2024,2024-01-04,Jewish,Misdemeanor,Other,"Larceny,Petit From Open Areas,",Queens,111,61,1
