rDate,year,bias,offense_Category,crime_Category,offense,description,borough,precinct,borough_add,arrest_id,dateTime,month,dayYear,toDate,month_bin,offense1,index_
2019-08-04T00:00:00.000,2019,Gay,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,75,Patrol Boro Bklyn_N,K31714905,2019-08-04,8,216,256,8,Felony Assault,1
2019-11-06T00:00:00.000,2019,Gay,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,75,Patrol Boro Bklyn_N,K31727109,2019-11-06,11,310,256,11,Felony Assault,1
2019-07-13T00:00:00.000,2019,Gay,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,76,Patrol Boro Bklyn_S,K31708016,2019-07-13,7,194,256,7,Felony Assault,1
2019-07-13T00:00:00.000,2019,Gay,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,76,Patrol Boro Bklyn_S,K31708045,2019-07-13,7,194,256,7,Felony Assault,1
2019-08-27T00:00:00.000,2019,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,77,Patrol Boro Bklyn_N,K31718271,2019-08-27,8,239,256,8,Felony Assault,1
2019-06-22T00:00:00.000,2019,Transgender,Gender,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,81,Patrol Boro Bklyn_N,K31709845,2019-06-22,6,173,256,6,Felony Assault,1
2019-01-14T00:00:00.000,2019,Transgender,Gender,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,84,Patrol Boro Bklyn_N,K31674720,2019-01-14,1,14,256,1,Felony Assault,1
2020-05-07T00:00:00.000,2020,Transgender,Gender,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,75,Patrol Boro Bklyn_N,K32688942,2020-05-07,5,128,256,17,Felony Assault,1
2020-01-29T00:00:00.000,2020,Asian,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,79,Patrol Boro Bklyn_N,K32676408,2020-01-29,1,29,256,13,Felony Assault,1
2020-03-25T00:00:00.000,2020,Asian,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,84,Patrol Boro Bklyn_N,K32688835,2020-03-25,3,85,256,15,Felony Assault,1
2020-01-01T00:00:00.000,2020,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,90,Patrol Boro Bklyn_N,K32672193,2020-01-01,1,1,256,13,Felony Assault,1
2020-04-23T00:00:00.000,2020,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,90,Patrol Boro Bklyn_N,K32688863,2020-04-23,4,114,256,16,Felony Assault,1
2020-04-23T00:00:00.000,2020,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,90,Patrol Boro Bklyn_N,K32689418,2020-04-23,4,114,256,16,Felony Assault,1
2020-06-27T00:00:00.000,2020,White,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,94,Patrol Boro Bklyn_N,K32693334,2020-06-27,6,179,256,18,Felony Assault,1
2021-06-11T00:00:00.000,2021,Hispanic,Ethnicity/National Origin/Ancestry,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,60,Patrol Boro Bklyn_S,K33691875,2021-06-11,6,162,256,30,Felony Assault,1
2021-04-05T00:00:00.000,2021,Asian,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,61,Patrol Boro Bklyn_S,K33684481,2021-04-05,4,95,256,28,Felony Assault,1
2021-05-24T00:00:00.000,2021,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,61,Patrol Boro Bklyn_S,K33689703,2021-05-24,5,144,256,29,Felony Assault,1
2021-11-02T00:00:00.000,2021,Asian,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,62,Patrol Boro Bklyn_S,K34696954,2021-11-02,11,306,256,35,Felony Assault,1
2021-11-02T00:00:00.000,2021,Asian,Race/Color,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,62,Patrol Boro Bklyn_S,K34696949,2021-11-02,11,306,256,35,Felony Assault,1
