Address,longitude,latitude,rank,Action_rank,cboard,precinct,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
1902 7 Avenue,-73.95295352214427,40.802648528357416,Medium,High,110,28,0.86,184,33.78,67.77,21.0,82.0,51.0,65.0,4.0,63.0,96.0,64.0,0.0
465 Dean Street,-73.97516557317829,40.68170528524948,Medium,Medium,306,78,0.72,54,33.72,41.19,1.0,22.0,20.0,11.0,0.0,19.0,20.0,15.0,0.0
425 East   13 Street,-73.9823528058649,40.73036304629035,Medium,Medium,103,9,0.67,36,33.34,56.63,2.0,13.0,11.0,10.0,0.0,12.0,12.0,12.0,0.0
188 Central Park West,-73.97273831058806,40.78064216509995,Medium,High,107,20,0.78,118,33.25,36.24,5.0,41.0,57.0,15.0,0.0,5.0,87.0,26.0,0.0
288 St Nicholas Avenue,-73.95284328256895,40.810399585251716,Medium,Medium,110,28,0.55,42,32.32,51.32,0.0,27.0,18.0,12.0,1.0,9.0,14.0,35.0,0.0
2102 Grand Concourse,-73.90225198049997,40.85409108775603,Medium,High,205,46,0.83,82,32.2,64.47,10.0,30.0,14.0,25.0,3.0,13.0,55.0,6.0,8.0
250 East Houston Street,-73.98532051639553,40.721937059265606,Medium,High,103,9,0.79,77,31.82,54.94,1.0,34.0,27.0,14.0,1.0,32.0,29.0,15.0,1.0
151 Avenue C,-73.97780460597261,40.72553423319804,Medium,High,103,9,0.8,60,31.77,40.13,2.0,27.0,26.0,10.0,0.0,20.0,28.0,16.0,1.0
614 Bergen Street,-73.96940498242898,40.67965904175936,Medium,Medium,308,78,0.52,126,31.74,44.66,11.0,46.0,39.0,30.0,0.0,25.0,41.0,60.0,0.0
178 Suffolk Street,-73.98503571813625,40.72102301798438,Medium,Medium,103,7,0.61,33,30.63,30.5,1.0,15.0,16.0,1.0,0.0,9.0,11.0,13.0,0.0
177 Prince Street,-74.0019410368931,40.726299398517604,Medium,Medium,102,1,0.63,59,30.48,44.94,1.0,28.0,22.0,7.0,1.0,30.0,7.0,20.0,2.0
645 West   59 Street,-73.99215466662008,40.77234229336695,Medium,Low,107,20,0.38,141,30.42,37.61,2.0,67.0,48.0,24.0,0.0,6.0,48.0,72.0,15.0
414 5 Avenue,-73.98555542750836,40.670088427693194,Medium,High,306,78,0.92,40,30.17,35.69,4.0,16.0,14.0,7.0,0.0,20.0,17.0,4.0,0.0
75 Central Park West,-73.97806306222111,40.773347791259134,Medium,Low,107,20,0.2,66,30.15,28.7,1.0,32.0,31.0,2.0,0.0,6.0,7.0,48.0,5.0
199 Prince Street,-74.00276364952728,40.72671109521736,Low,Low,102,1,0.5,28,29.88,35.82,0.0,14.0,10.0,4.0,0.0,12.0,2.0,14.0,0.0
244 7 Avenue,-73.97934445058544,40.66959342041747,Low,Medium,306,78,0.72,32,29.42,36.66,2.0,15.0,12.0,4.0,0.0,11.0,12.0,9.0,1.0
269 East Houston Street,-73.98455575543393,40.721684441439336,Low,Medium,103,7,0.64,36,29.28,36.97,0.0,20.0,10.0,6.0,0.0,11.0,12.0,11.0,2.0
1925 7 Avenue,-73.95236059020847,40.803433276488676,Low,High,110,28,0.85,54,29.2,58.09,3.0,29.0,16.0,12.0,2.0,20.0,26.0,15.0,1.0
1711 Neptune Avenue,-73.98540954786047,40.57892294467054,Low,Low,313,60,0.43,49,29.13,44.64,1.0,24.0,14.0,10.0,0.0,7.0,14.0,27.0,1.0
644 Vanderbilt Avenue,-73.96910696396306,40.677013000059794,Low,High,308,78,0.91,124,29.1,46.1,4.0,59.0,45.0,14.0,2.0,42.0,71.0,11.0,0.0
119 Central Park West,-73.97588850767461,40.77632814193197,Low,Medium,107,20,0.56,52,29.05,35.52,2.0,28.0,16.0,8.0,0.0,10.0,19.0,19.0,6.0
160 West  119 Street,-73.94990709775495,40.80463717100776,Low,Medium,110,28,0.73,30,28.52,57.73,4.0,11.0,7.0,8.0,0.0,13.0,9.0,7.0,1.0
433 East   13 Street,-73.98222653717434,40.730308131763586,Low,Medium,103,9,0.64,33,28.05,35.64,1.0,18.0,11.0,3.0,0.0,9.0,12.0,11.0,1.0
303 East   61 Street,-73.96319451279685,40.76176942895908,Low,High,108,19,0.92,99,27.92,38.48,12.0,45.0,22.0,20.0,0.0,33.0,58.0,8.0,0.0
345 7 Avenue,-73.9819551883835,40.666426386619875,Low,High,306,78,0.78,189,27.92,36.31,12.0,90.0,58.0,29.0,0.0,92.0,56.0,41.0,0.0
56 Avenue C,-73.9799774257181,40.72252637710556,Low,Medium,103,9,0.56,57,27.83,41.49,3.0,29.0,14.0,11.0,0.0,8.0,24.0,23.0,2.0
340 7 Avenue,-73.98183618903238,40.66659654411043,Low,High,306,78,0.76,161,27.67,33.22,20.0,65.0,57.0,19.0,0.0,78.0,45.0,38.0,0.0
97-47 Queens Boulevard,-73.85984228167287,40.72921687862941,Low,Medium,406,112,0.71,31,27.58,37.96,2.0,17.0,7.0,5.0,0.0,5.0,17.0,9.0,0.0
226 4 Avenue,-73.98315639991446,40.67726568902946,Low,Medium,306,78,0.56,70,27.53,37.71,5.0,32.0,32.0,1.0,1.0,16.0,23.0,32.0,0.0
38 East   29 Street,-73.98480671020883,40.74443574284639,Low,High,105,13,0.79,28,27.46,43.47,0.0,18.0,8.0,1.0,1.0,21.0,1.0,6.0,0.0
274 7 Avenue,-73.98015221748858,40.668619166819155,Low,High,306,78,0.97,30,27.3,33.21,5.0,11.0,11.0,3.0,0.0,12.0,17.0,1.0,0.0
1890 7 Avenue,-73.95324276081412,40.80225340545579,Low,Medium,110,28,0.69,181,26.79,42.71,35.0,77.0,39.0,37.0,0.0,38.0,87.0,63.0,0.0
248 East  119 Street,-73.93747908513217,40.799407885686534,Low,Medium,111,25,0.65,40,26.67,44.42,3.0,20.0,12.0,4.0,1.0,8.0,18.0,14.0,0.0
101 Prince Street,-73.99899703252856,40.724847434030096,Low,High,102,1,0.81,31,26.53,35.17,0.0,16.0,12.0,3.0,0.0,22.0,3.0,4.0,2.0
114 Stanton Street,-73.98735538053971,40.72111661790732,Low,Low,103,7,0.32,63,26.48,31.6,3.0,34.0,23.0,3.0,0.0,13.0,7.0,40.0,3.0
1862 7 Avenue,-73.95401284506454,40.80119699550897,Low,High,110,28,0.78,55,26.47,34.7,5.0,28.0,14.0,8.0,0.0,21.0,22.0,12.0,0.0
306 East   61 Street,-73.9630754275603,40.76170077227129,Low,High,108,19,0.78,76,26.22,30.01,14.0,39.0,17.0,6.0,0.0,19.0,40.0,17.0,0.0
1858 7 Avenue,-73.95413938378573,40.80102138340296,Low,Medium,110,28,0.66,29,26.06,32.14,2.0,15.0,13.0,2.0,0.0,9.0,10.0,13.0,0.0
253 East Houston Street,-73.98517983190018,40.72187665655675,Low,Medium,103,7,0.61,31,25.62,34.83,0.0,17.0,9.0,5.0,0.0,12.0,7.0,11.0,1.0
1833 7 Avenue,-73.95461301004313,40.80034087855775,Low,High,110,28,0.78,36,25.49,62.49,1.0,20.0,6.0,8.0,1.0,13.0,15.0,8.0,0.0
265 East Houston Street,-73.98486238239464,40.721777803951724,Low,Medium,103,7,0.67,33,25.25,29.41,0.0,19.0,12.0,2.0,0.0,15.0,7.0,11.0,0.0
252 7 Avenue,-73.97949951468792,40.66940680333442,Low,Medium,306,78,0.71,28,24.3,30.76,3.0,15.0,6.0,4.0,0.0,9.0,11.0,8.0,0.0
118-10 Queens Boulevard,-73.83206737981605,40.71498654987499,Low,Medium,406,112,0.74,46,24.12,47.2,3.0,26.0,8.0,9.0,0.0,9.0,25.0,12.0,0.0
209 Central Park West,-73.97165804233954,40.78212955087735,Low,Low,107,20,0.24,51,24.1,28.55,2.0,32.0,12.0,5.0,0.0,6.0,6.0,27.0,12.0
47-20 Center Boulevard,-73.95713681920898,40.74564743800411,Low,Low,402,108,0.43,190,24.08,34.16,16.0,91.0,59.0,24.0,0.0,5.0,76.0,107.0,2.0
46-10 Center Boulevard,-73.95640328649877,40.74705521915176,Low,Low,402,108,0.42,187,24.02,33.83,15.0,89.0,63.0,19.0,1.0,6.0,72.0,105.0,4.0
352 Cathedral Parkway,-73.95990748388802,40.80126232510432,Low,High,107,24,0.87,39,24.02,26.1,2.0,23.0,13.0,1.0,0.0,7.0,27.0,4.0,1.0
25 St Nicholas Avenue,-73.95244648524235,40.79948913966764,Low,High,110,28,0.77,145,23.75,38.41,20.0,68.0,38.0,19.0,0.0,39.0,73.0,32.0,1.0
461 Dean Street,-73.9753061750344,40.68173550800958,Low,Medium,306,78,0.7,53,23.75,32.32,11.0,18.0,17.0,7.0,0.0,14.0,23.0,16.0,0.0
112 Stanton Street,-73.98742752829065,40.7211385838782,Low,Low,103,7,0.42,33,23.75,27.98,2.0,18.0,11.0,2.0,0.0,6.0,8.0,19.0,0.0
46-15 Center Boulevard,-73.9563779030925,40.74723910773346,Low,Low,402,108,0.42,184,23.72,35.09,14.0,90.0,60.0,19.0,1.0,7.0,71.0,106.0,0.0
201 West  106 Street,-73.96587117769042,40.80051493461435,Low,High,107,24,0.79,28,23.62,25.77,1.0,20.0,8.0,1.0,0.0,4.0,18.0,5.0,3.0
213 East Tremont Avenue,-73.905136529099,40.849070685610705,Low,High,205,46,1.0,45,23.6,43.88,7.0,21.0,15.0,0.0,2.0,2.0,43.0,0.0,0.0
2187 8 Avenue,-73.95435641762818,40.80582473973194,Low,High,110,28,0.97,29,23.47,39.38,0.0,18.0,7.0,5.0,0.0,12.0,16.0,2.0,0.0
46-30 Center Boulevard,-73.95650820907728,40.746654525427516,Low,Low,402,108,0.41,176,23.16,31.11,16.0,82.0,59.0,19.0,0.0,3.0,70.0,103.0,0.0
255 East Houston Street,-73.9851257210389,40.72186018102813,Low,Low,103,7,0.5,62,22.88,28.24,1.0,41.0,16.0,4.0,0.0,15.0,16.0,28.0,3.0
207 West  106 Street,-73.96632979148279,40.80070720036568,Low,Medium,107,24,0.58,31,22.8,30.43,0.0,19.0,10.0,3.0,0.0,7.0,11.0,12.0,2.0
242 7 Avenue,-73.9793047840733,40.66963732971625,Low,Medium,306,78,0.67,36,22.7,34.41,5.0,15.0,11.0,5.0,0.0,12.0,12.0,12.0,0.0
44-36 Vernon Boulevard,-73.95223322208895,40.74938385696626,Low,Medium,402,108,0.51,133,22.07,31.83,7.0,69.0,42.0,15.0,0.0,13.0,55.0,65.0,0.0
138 7 Avenue,-73.9766144630082,40.67286741589369,Low,High,306,78,0.77,52,21.9,25.15,11.0,25.0,13.0,3.0,0.0,15.0,25.0,12.0,0.0
223 4 Avenue,-73.98326821208276,40.67706533682685,Low,Medium,306,78,0.55,89,21.88,28.98,18.0,37.0,30.0,6.0,0.0,20.0,29.0,42.0,0.0
228 East  119 Street,-73.93780041036946,40.79954529591324,Low,Medium,111,25,0.64,45,21.75,26.86,5.0,26.0,10.0,4.0,0.0,4.0,25.0,16.0,0.0
76 East  119 Street,-73.94262409319579,40.80156791710398,Low,Medium,111,25,0.75,77,20.95,30.57,10.0,43.0,21.0,1.0,2.0,22.0,36.0,19.0,0.0
173 7 Avenue,-73.97762427772089,40.67161874369965,Low,High,306,78,0.79,62,20.92,23.22,17.0,23.0,20.0,3.0,0.0,18.0,31.0,14.0,0.0
162 7 Avenue,-73.97729247768575,40.672052353298504,Low,High,306,78,0.88,26,20.5,32.36,9.0,6.0,8.0,4.0,0.0,11.0,12.0,4.0,0.0
1867 7 Avenue,-73.95362240430514,40.801701868798595,Low,High,110,28,0.96,45,20.38,30.88,6.0,24.0,13.0,4.0,0.0,17.0,26.0,4.0,0.0
501 2 Street,-73.97755603275355,40.67088038560914,Low,High,306,78,0.91,34,20.11,23.15,8.0,14.0,11.0,1.0,0.0,15.0,16.0,3.0,0.0
556 West  110 Street,-73.9661114477225,40.80390748706629,Low,Medium,107,24,0.59,83,20.0,21.42,3.0,64.0,18.0,1.0,0.0,3.0,46.0,36.0,1.0
1889 7 Avenue,-73.9532536314845,40.802204004790006,Low,High,110,28,0.78,69,19.97,27.56,8.0,42.0,13.0,6.0,0.0,9.0,45.0,15.0,0.0
319 4 Street,-73.98328391257009,40.67196005745694,Low,High,306,78,0.84,31,19.78,30.63,5.0,13.0,10.0,3.0,0.0,7.0,19.0,5.0,0.0
205 Smith Street,-73.99168540420952,40.68490532433471,Low,High,306,76,0.92,61,19.17,24.96,5.0,36.0,17.0,3.0,0.0,34.0,22.0,5.0,0.0
158 East  119 Street,-73.93973923774195,40.8003560204349,Low,Medium,111,25,0.73,30,18.81,21.76,5.0,18.0,7.0,0.0,0.0,2.0,20.0,7.0,1.0
47-40 Center Boulevard,-73.9574257294692,40.745340133185714,Low,Low,402,108,0.37,87,18.58,26.32,4.0,53.0,24.0,6.0,0.0,2.0,30.0,55.0,0.0
19 West  119 Street,-73.9460650979303,40.80303526237608,Low,High,110,28,0.83,41,18.4,33.55,2.0,25.0,8.0,6.0,0.0,14.0,20.0,7.0,0.0
372 3 Street,-73.98284034799634,40.67257207716305,Low,Medium,306,78,0.71,31,18.28,30.43,6.0,14.0,7.0,4.0,0.0,8.0,14.0,9.0,0.0
315 7 Avenue,-73.98125925906994,40.66726068774556,Low,Low,306,78,0.47,122,18.02,22.76,25.0,61.0,28.0,8.0,0.0,21.0,36.0,65.0,0.0
168 7 Avenue,-73.97744394645942,40.67187122788095,Low,Medium,306,78,0.75,28,17.77,22.88,8.0,14.0,5.0,2.0,0.0,8.0,13.0,8.0,0.0
45-02 Vernon Boulevard,-73.95221942932949,40.74848631848375,Low,Low,402,108,0.48,170,17.66,27.23,19.0,96.0,39.0,16.0,0.0,9.0,72.0,89.0,0.0
303 7 Avenue,-73.98090948553242,40.667677836399676,Low,High,306,78,0.89,46,16.6,21.22,4.0,31.0,11.0,0.0,0.0,15.0,26.0,5.0,0.0
45-22 Vernon Boulevard,-73.95242566806593,40.74775630066568,Low,Low,402,108,0.47,161,16.52,25.84,18.0,90.0,39.0,14.0,0.0,8.0,68.0,85.0,0.0
320 7 Avenue,-73.98129170351517,40.66725245869395,Low,Low,306,78,0.46,133,15.85,23.1,33.0,58.0,34.0,8.0,0.0,18.0,43.0,71.0,1.0
23-09 49 Avenue,-73.94674599248864,40.74205296856065,Low,Low,402,108,0.47,209,14.87,23.75,35.0,114.0,41.0,19.0,0.0,11.0,88.0,108.0,2.0
315 East   62 Street,-73.96245060850165,40.76227696637641,Low,High,108,19,0.91,104,3.26,23.54,64.0,18.0,8.0,14.0,0.0,13.0,82.0,9.0,0.0
