cboard,community_board,cboard_expand,total,Median_Minutes,Mean_Minutes,InAction_Rate,min0->5,min5->30,min30->60,min60->360,min360+,Late,Action,No-Action,Summon
410,10 QUEENS,"Queen_10: Howard Beach, South Ozone Park,",39,218.92,372.75,0.74,0.0,5.0,2.0,20.0,12.0,7.0,5.0,22.0,5.0
411,11 QUEENS,"Queen_11: Bayside, Douglaston, Little Neck, Auburndale",145,94.22,158.85,0.68,2.0,17.0,35.0,73.0,18.0,55.0,35.0,44.0,11.0
412,12 QUEENS,"Queen_12: Jamaica, S.Jamaica, Hollis, St.Albans",16,48.97,78.12,0.56,0.0,3.0,9.0,3.0,1.0,2.0,4.0,7.0,3.0
413,13 QUEENS,"Queen_13: Laurelton, Cambria Heights, Queens Village, Glen Oaks",14,126.87,183.37,0.5,0.0,1.0,1.0,10.0,2.0,1.0,5.0,6.0,2.0
414,14 QUEENS,"Queen_14: Rockaways, Broad Channel",114,50.31,61.86,0.56,1.0,29.0,41.0,42.0,1.0,10.0,35.0,54.0,15.0
481,81 QUEENS,Queen_81: Corona Park,4,82.88,105.04,0.75,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0
484,84 QUEENS,Queen_84: Queens Gateway,1,94.5,94.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
501,01 STATEN ISLAND,StatI_01: North,45,79.77,99.43,0.67,1.0,11.0,7.0,25.0,1.0,15.0,14.0,15.0,1.0
502,02 STATEN ISLAND,StatI_02: Central,28,38.14,80.08,0.54,0.0,7.0,11.0,9.0,1.0,4.0,10.0,11.0,3.0
503,03 STATEN ISLAND,StatI_03: South,30,38.67,56.45,0.6,0.0,10.0,10.0,10.0,0.0,4.0,11.0,14.0,1.0
595,95 STATEN ISLAND,StatI_95: East Coast,1,53.55,53.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
